Job,Company,Description,Link
Account Manager (Software),AMIND GROUP COMPANY LIMITED,"job responsibilities:
cold – calling inorder to create interest in products and services and lead the arrange meeting
develop account plans, develop relationships in new and existing customers.
achieve revenue targets
visit customers regulatory as per sales policy
work with company professional services (presales consultants, technical support)",https://th.jobsdb.com/th/job/78444086
นิติกร,Thai Beverage Public Company Limited,"หน้าที่และความรับผิดชอบ
แก้ปัญหา ให้คำปรึกษาเกี่ยวกับการดำเนินคดีและการใช้สิทธิทางศาล รวมทั้งให้ความรู้เพิ่มเติมและคำแนะนำนำเสนอและร่วมพิจารณาระเบียบพนักงานและลูกค้าของบริษัทเกี่ยวกับกฎหมายควบคุมเครื่องดื่มแอลกอฮอล์
เจรจาติดตามทวงถามเพื่อให้ชำระหนี้ตามมูลสัญญา ละเมิด หรือเจรจาเพื่อชำระหนี้
ให้คำแนะนำกับผู้รับมอบอำนาจของบริษัทในการแจ้งความร้องทุกข์กล่าวโทษในคดีอาญา และให้คำแนะนำในการให้ถ้อยคำต่างๆ ต่อพนักงานสอบสวนและหน่วยงานราชการ เช่น กระทรวงสาธารณสุข สถานีตำรวจกรมสรรพสามิต สำนักงานอัยการ ศาล สำนักงานที่ดิน เทศบาล อบจ. อบต. และหน่วยงานอื่น ๆ ที่เกี่ยวข้อง
ประสานงานกับสำนักกฎหมายในการฟ้องร้อง แก้ต่างคดีทุกประเภท และเป็นโจทก์ร่วม จำเลยร่วม ร้องขัดหรือยื่นคำร้องต่าง ๆ
บังคับคดี ริบทรัพย์ ยึด อายัด เพื่อรับชำระหนี้ตามคำพิพากษา
ยื่นคำร้องขอรับชำระหนี้ในคดีล้มละลาย ขอเฉลี่ยทรัพย์ ขอกันส่วน
ประสานงานกับสำนักกฎหมาย ในเรื่องของการจัดทำนิติกรรมสัญญาต่าง ๆ
จัดทำรายงานความคืบหน้า และรายงานสรุปคดี
เป็นคณะกรรมการสอบสวนทางวินัย บันทึกการให้ถ้อยคำ สรุปรายงานการสอบสวน ให้คำปรึกษา
ดำเนินการตรวจสอบความถูกต้องของหนังสือมอบอำนาจ และสัญญา เช่น สัญญาเช่าที่ดินและสิ่งปลูกสร้างสัญญาบริการระหว่างกัน ฯลฯ
ดำเนินการเบิกเงินทดรองเพื่อประกันตัว และชำระค่าปรับให้แก่ลูกค้าของบริษัท ตรงตามกำหนดนัดของหน่วยงานราชการและเคลียร์คืนเงินทดรอง
ดูแล ประสานงาน ให้คำแนะนำ และเข้าร่วมกิจกรรมฝ่ายขาย
ดำเนินการดูแลตรวจสอบที่ดิน อาคาร เช่น งานรังวัด สอบเขต ออกโฉนด บุกรุก และทรัพย์สินบริษัท ฯลฯ
ปฏิบัติงานอื่นๆตามที่ได้รับมอบหมายจากผู้บังคับบัญชา",https://th.jobsdb.com/th/job/78449518
Sales Executive ( Junior ),"TT Aviation Co., Ltd.","รายละเอียดการปฎิบัติงาน
หน้าที่ความรับผิดชอบ
-ส่งเสริมผลิตภัณฑ์และบริการให้กับลูกค้าและเจรจาสัญญาโดยมีเป้าหมายเพื่อเพิ่มผลกำไรสูงสุด
- ติดต่อระหว่างองค์กรและลูกค้า: ตอบคำถาม ให้คำแนะนำ และแนะนำผลิตภัณฑ์ใหม่
- จัดทำรายงานโดยรวบรวม วิเคราะห์ และสรุปข้อมูล
- เข้าร่วมประชุมทีมและแบ่งปันแนวทางปฏิบัติที่ดีที่สุดกับเพื่อนร่วมงาน
- สร้างและรักษาความสัมพันธ์ในการทำงานที่มีประสิทธิผลและสร้างสรรค์กับเพื่อนร่วมงาน",https://th.jobsdb.com/th/job/78454238
General Audit,THAI CREDIT BANK PUBLIC COMPANY LIMITED,,https://th.jobsdb.com/th/job/78372388
Senior Key Account Manager (F&B),Charoen Pokphand Foods Public Company Limited,"job responsibilities
account management:
develop and maintain strong relationships with key modern trade accounts.
act as the primary liaison between the company and retail partners.
ensure optimal product placement, visibility, and merchandising in-store.
sales strategy and execution:
create and implement strategic sales plans to achieve targets and increase market share within modern trade channels.
monitor sales performance, track kpis, and adjust strategies as needed to meet goals.
identify and capitalize on growth opportunities within assigned accounts.
negotiation and promotion:
negotiate terms and conditions with retail partners to maximize sales and profitability.
plan and execute promotional activities, including in-store promotions, displays, and events.
collaborate with marketing teams to align promotional strategies with brand objectives.
market analysis and reporting:
analyze market trends, competitor activities, and consumer preferences to inform strategy.
provide regular reports on account performance, sales activities, and market insights.
use data-driven insights to refine approaches and improve results.",https://th.jobsdb.com/th/job/78454516
Senior Accounts Payable Officer (9 months Contract),"Agoda Services Co., Ltd.","job description
perform day to day accounts payable, payment, and month end closing tasks for ap related accounts
ensure that financial data, for which you are responsible, is accurate and delivered on-time
monitor accounting and associated it systems to appropriately create debtors/creditor/nominal ledger and booking system interdependencies
supervises the day-to-day work of the junior officer. ensures quality completion of all deliverables as per agreed service levels
provide the necessary support to assigned projects/initiatives which may include continuous process improvement & other quality initiatives. ensure that assigned projects/initiatives are completed on time with quality results.
provide support in transactions processing (including review & approval) particularly for more complex transactions.
support the team to deliver ad hoc requests/projects
ensure that the processes are compliant with internal control (sox)
ensure that unusual items or cases are brought up for discussion appropriately and solved within the deadline
proactive partnering, ensure fairly support stakeholders within finance and outside of finance
resolution of issues in a timely manner
contribute to the overall management and development of the p2p tower, including the successful achievement of its goals and objectives
resolve payment related queries with satisfactory outcomes
provide inputs on required changes to related daily activities and reports
elimination of unnecessary processes
keep up to date on new central bank regulations/payments regulations
what you’ll need to succeed
bachelor’s degree in accounting or related field.
minimum 3-4 years’ experience in accounts payableaccounting or related field.
working in multinational company and travel industry is preferable.
strong interpersonal skill, problem solving, prioritization, proactive handling, and teamwork with ability to meet deadline.
provide support in transactions processing (including review & approval) particularly for more complex transactions.
proficient in ms office application.
dynamic and able to adapt to a fast-paced environment.
team working skills – ability to collaborate, influence and mediate effectively with other teams both within and outside of finance
energetic, and taking initiative with effective communication skills in english.
it’s great if you have
proficient erp software (oracle is preferable)
accounting experience in online travel agency business
#manila#jakarta#hochiminh#kualalumpur
equal opportunity employer
at agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. we prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. employment at agoda is based solely on a person’s merit and qualifications. we are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.
wewill keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. for more details please read our privacy policy.
to all recruitment agencies: agoda does not accept third party resumes. please do not send resumes to our jobs alias, agoda employees or any other organization location. agoda is not responsible for any fees related to unsolicited resumes.",https://th.jobsdb.com/th/job/78457019
IT Project Manager,"Le Creuset Manufacturing (Thailand) Co., Ltd.","responsibilities
project initiation and mobilisation
• working with senior management and key stakeholders across the business (as required) to plan and schedule the delivery of key projects
• interacting with business analysts, business users, other departments within it, and third-party vendors to ensure that the right team is in place to ensure that the agreed benefits are capable of being delivered.
• ensuring that the extent of the business change is clearly articulated and factored into the way that the projects are mobilised.
• establishing an appropriate level of governance and control to ensure effective delivery.
project
• leading the project delivery in collaboration with technical and business teams
• leading the implementation of agreed technical and business solutions
• adopting responsive and agile techniques where appropriate to ensure that the pace of the implementation matches the expectations of the business teams
governance and controls
• establishing appropriate governance controls
• providing timely, accurate and meaningful project reporting consistent with the direction of the pmo
• proactive intervention to escalate risks and issues on a timely basis
• effective management of key stakeholders.
documentation
• ensuring systems are documented appropriately according to it standards.
• ensuring proper documentation is provided.
• ensuring planning support for effective release and service transition is provided.",https://th.jobsdb.com/th/job/78342737
Service Industrial Engineer,ALSTOM (Thailand) Ltd.,,https://th.jobsdb.com/th/job/78309993
Sales Manager (MC) /ผู้จัดการแผนกขาย(โรงพยาบาลและคลินิก),"Osoth Inter Laboratories Co., Ltd.","responsibilities:
•develop and execute a comprehensive sales strategy for the mc channel, aligned with the company's overall business objectives.
•analyze market trends, competitive landscape, and customer needs to identify opportunities for growth and differentiation.
•set sales targets, objectives, and kpis for the mc channel, and develop action plans to achieve them.
•establish and maintain strong relationships with customers.
•lead, motivate, and coach a team of sales representatives to achieve sales targets and drive performance excellence.
•stay updated on market trends, consumer behavior, and competitive activities within the mc channel.
•monitor competitor pricing, promotions, and product offerings to identify opportunities and threats.
•utilize market insights to develop innovative sales and marketing strategies to gain a competitive edge.
•collaborate closely with marketing, supply chain, and finance teams to ensure alignment in strategies, promotional activities, and stock availability.
•provide feedback to the product development team on market demands, customer preferences, and potential product enhancements.",https://th.jobsdb.com/th/job/78456155
Middle School Math and Physics Teacher,SISB SCHOOLS/PUBLIC COMPANY LIMITED,,https://th.jobsdb.com/th/job/78439111
Chinese Language Teacher,CANADIAN SOLAR MANUFACTURING (THAILAND) COMPANY LIMITED,,https://th.jobsdb.com/th/job/78457511
Computer Technician,NIST International School,"responsibilities
setup devices and peripherals to be connected and functional
maintain and repair devices and peripheral devices in suitable working order and perform routine maintenance procedures for all devices
oversee that computer hardware and software are maintained at an acceptable level
support users in the use of the school computer systems and standard applications
occasionally support and standby school events on the request after school or weekend
create user guides for hardware and software
carry out duties assigned by the it manager",https://th.jobsdb.com/th/job/78440070
Mechanical Design Engineer (HVAC),"Italthai Engineering Co., Ltd.","key responsibilities:
design hvac systems for commercial, industrial, and residential buildings, ensuring energy efficiency and compliance with industry standards.
develop detailed mechanical plans, including load calculations, ductwork, and piping layouts.
coordinate with architects, electrical engineers, and contractors to integrate hvac systems seamlessly into overall building designs.
review and approve technical drawings and specifications.
provide technical support during the installation and commissioning phases.
key responsibilities:
lead and manage the hvac design team in developing innovative and efficient hvac systems for various building types, including commercial, industrial, and residential projects.
oversee all stages of hvac design, from concept through to detailed design, ensuring compliance with industry standards and project requirements.
collaborate with cross-functional teams, including architects, electrical engineers, and contractors, to ensure hvac designs are fully integrated into the overall building plans.
review and approve technical drawings, specifications, and calculations prepared by the design team.
manage project timelines and budgets, ensuring that all deliverables are met on schedule and within financial constraints.
provide technical expertise and guidance to the team, supporting the development of junior engineers.",https://th.jobsdb.com/th/job/78333399
Assistant Project Manager,"Mizuhada Group Co., Ltd.","job description:
conduct thorough internal audits to assess and enhance the organization's internal controls and processes.
collaborate with cross-functional teams to identify areas for process improvement and implement best practices.
assist and coordinate projects from initiation to completion, ensuring they are delivered on time and within budget.
develop detailed project plans, including timelines, resource requirements, and risk management strategies.
utilize advanced excel skills for data analysis and reporting.
programming abilities in sql to develop custom solutions and automate processes.
design and develop programs for various parts of the company.
develop, implement, and maintain internal control policies and procedures for company’s operations.
collaborate with external partners for outsourcing initiatives, ensuring alignment with organizational goals and standards.
communicate effectively with team members and stakeholders, providing regular updates on project progress.",https://th.jobsdb.com/th/job/78410847
Compliance Supervisor,P.S.P. Specialties Public Company Limited,"ความรับผิดชอบ
ปฏิบัติงานตรวจสอบเกี่ยวกับการปฏิบัติตามกฎหมาย ระเบียบ ข้อบังคับและกฎหมายต่าง ๆ
วิเคราะห์ปัญหาที่พบเพื่อเสนอแนวทางปรับปรุง
จัดทำรายงานผลการตรวจสอบ
จัดทำข้อกำหนด/หลักเกณฑ์ หรือระเบียบวิธีปฏิบัติงาน
ติดตามแต่ละสายงานให้มีการทบทวนและปรับปรุงระเบียบวิธีปฏิบัติงานหลักเกณฑ์ต่าง ๆ
ติดตามความคืบหน้าการปรับปรุงแก้ไข ประเด็นที่พบจากการตรวจสอบภายในและจากผู้สอบบัญชีภายนอก
ส่งเสริมวัฒนธรรมการปฏิบัติตามกฎเกณฑ์และเสริมสร้างให้พนักงานมีความรู้ความเข้าใจในกฎหมายสำคัญต่าง ๆ ที่เกี่ยวข้อง สามารถปฏิบัติงานได้อย่างถูกต้อง
ปฏิบัติงานให้เป็นไปตามแผนงานที่กำหนดและงานอื่นๆ ตามที่ได้รับมอบหมาย
ดำเนินการอบรมให้ความรู้หน่วยงานที่มีหน้าที่ในการปฏิบัติตามกฎหมายให้สามารถเข้าใจและปฏิบัติงานได้ถูกต้องครบถ้วน รวมทั้งให้คำในการปฏิบัติงานให้ถูกต้อง",https://th.jobsdb.com/th/job/78381214
Assistant HR Manager – TA & ER,PepsiCo,"role & responsibility :
talent acquisition:
execute and manage recruitment strategies to attract a consistent stream of talent for shopfloor and professional positions.
collaborate with hiring managers to understand staffing needs and develop effective recruitment plans.
develop and implement effective onboarding programs to ensure smooth integration of new hires.
2. co-lead employee relations
together with plant hr manager manage the implementation of the plant hr policies and ensure the execution.
ensure compliance with labor laws and company policies in handling employee issues.
lead ohs connect and monthly er connect to connect with our frontline.
initiative and manage welfare committee by conduction the committee election, hold monthly meeting and cascade the minute of the meeting to the business.
conduct investigations and manage disciplinary actions as needed.
supervise outsourced service providers
oversee and manage on-site outsourced service providers to ensure workforce fulfillment and high service quality.
monitor performance and address any service issues or gaps with outsourced partners.
4. employee engagement
deliver employee engagement initiatives to enhance morale and retention.
act as the main coordinator, and collaborate with other hr team member functions to deliver employee engagement activity.
5. compliance and standards
ensure compliance: act as the hr representative to ensure site compliance with standards and initiatives like recon, fssc, aib,gem, and iso by work crossfuctionly to support audit and initiate improvement
support other functions: assist other functions as needed for compliance.
6. hr reporting
create daily, monthly and weekly reports:
develop and present monthly hr dashboards.
provide ad-hoc information:
supply additional information as requested by the business.",https://th.jobsdb.com/th/job/78341425
General Manager,"Khaidee Seafood Co.,Ltd.","tasks & responsibilities
general manager
benefits
competitive salary based on experience 
performance-based bonus 
management welfare & benefits",https://th.jobsdb.com/th/job/78314991
Planner,"Quasar Medical (Thailand) Co., Ltd.","responsibilities
do forecast analysis whenever forecast is updated possibly, including production capacity analysis to ensure optimal production efficiency and maximum production capacity, manpower requirement analysis, material requirement analysis, etc.
make weekly, monthly, yearly production plan, follow up fulfilment status of production plan; monitor, track and report the production output, handle any deviation timely and drive production to achieve setting target to ensure otd for customer.
base on forecast demand and production plan to make material purchase demand for buyer as a communication window for material supply from supply chain, follow up shortage material delivery, past due po, handle goods receiving discrepancy, feed materials to production, mrb inventory handling etc. to ensure on time delivery for available material in production workshop.
manage material supplier delivery performance and improve material supply stability and reliability together with other functions.
monitor material inventory level to ensure production supply as well as inventory control, minimize slow moving inventory level.
follow up ecr changes and phase-out products closely to prevent obsolete and excessive stock.
lead customer annual inventory count activity.
support erp improvement when required.
keep in line with global strategy, cooperate with different functions to achieve common targets.
other tasks assigned by manager.",https://th.jobsdb.com/th/job/78456738
เลขานุการ,"KIJ MARKETING CO., LTD.","tasks & responsibilities
ควรมีทักษะในการจัดการ การติดต่อประสานงาน ความสามารถในการทำงานหลายอย่างในเวลาเดียวกัน รวมไปถึงต้องมีความใจเย็น มีทักษะในการฟัง จับใจความ และมีความรอบรู้และคล่องแคล่ว
ติดตามผู้บังคับบัญชาไปประชุมหรือการนัดหมายอื่นๆ ที่ได้รับมอบหมาย
สามารถรับแรงกดดันได้ดี
สามารถขับรถยนต์ให้ผู้บริหารได้
benefits
มีสวัสดิการประกันสังคม เบี้ยขยัน โบนัส ท่องเที่ยวประจำปี",https://th.jobsdb.com/th/job/78413809
Sustainability Engineer,Bright Management Consulting Company Limited,,https://th.jobsdb.com/th/job/78434803
Programmer Technology(UX/UI),"GCAP Co., Ltd.","รายละเอียดงาน
พัฒนา web application และ support การใช้งานตามที่ได้รับมอบหมาย
พัฒนาระบบออกแบบ css หรือ tailwindcss และ support การใช้งานของ user ตามที่ได้รับมอบหมาย
ติดต่อประสานงานระหว่าง user และ programmer ภายในทีม",https://th.jobsdb.com/th/job/78340443
Sales representative,"Suntel (thailand) Co.,Ltd.","responsibilities
discovering and developing new clients.
conducting marketing activities and creating new products for client proposals.
activities aimed at achieving sales/profit goals.
main products include solar system-related products, including solar panels, inverters, cables, and other related equipment.",https://th.jobsdb.com/th/job/78432294
International import specialist,"Changan Auto Southeast Asia Co., Ltd.","responsibility:
• handle all imported goods (raw materials/parts/complete vehicles)
• contact the domestic exporter's purchasing department/logistics for customs clearance
information
• contact the warehouse logistics staff according to the delivery plan
• arrange customs clearance with the local freight forwarder in thailand and track the customs
clearance status every day
• translate imported goods from chinese to thai
• confirm the import customs code and all documents used for customs clearance, invoices,
packing lists, bills of lading
• certificate of origin form e, d
• record import ledgers every day
• confirm and control local expenses in thailand
• edi import report at the end of each month/every 6 months
• go through the payment process
• confirm the import quantity every month according to the edi report and the monthly inventory
quantity must be exactly the same
• confirm the quantity every month in the bonded area according to the import customs
clearance type 0,1, p,d
• prepare audit reports/workflows
• confirm import preferential boi/freezone/form e d/ no privilege/
• understand tisi/nbtc/nsw",https://th.jobsdb.com/th/job/78343804
Project Secretary (1 Year Contract),"Samsung E&A (Thailand) Co., Ltd.","responsibilities:
purchase for consumables & supplies
applying payment request for personal expenses/allowances
regular report for the status of time & attendance in project
request car & air ticket
reservation hospitals & restaurants (if requested)
action for the urgent request from project management team (sometimes needed to work by mobile after working time)",https://th.jobsdb.com/th/job/78404076
Purchasing Engineer Supervisor,"Union Galvanizer Co., Ltd.",,https://th.jobsdb.com/th/job/78344134
Social Media Content Creator,International School Bangkok,"key responsibilities
write, edit, and produce engaging content for newsletters, blogs, websites, and print publications that align with the school’s mission and branding.
create, curate, and manage published content (images, video, written) across social media platforms such as facebook, instagram, youtube, linkedin, whatsapp, and line.
collaborate with faculty, students, administrators, parents and alumnito gather stories, achievements, and newsworthy events for content creation.
oversee the production of multimedia content, including print, videos, podcasts, and photography, to enhance the school’s online presence and promotional materials.
ensure all content adheres to the school’s style guide, branding, and messaging standards.
coordinate with the admissions, engagement and marketing teams to develop targeted content for prospective students, parents, and alumni.
contribute to and implement the school’s social media strategy that aligns with business goals, including setting objectives, identifying the target audience, and choosing the right platforms.
plan and execute social media campaigns, including paid advertising on platforms.
ideate and brainstorm new content ideas that align with the school identity and foster inspiration, exploration, and loyalty.
monitor and analyze the effectiveness of content social media performance using tools like google analytics, facebook insights, or other social media analytics platforms.
create reports to measure campaign success and make data-driven decisions about future strategies, and adjust strategies to optimize engagement and reach.
engage with the audience by responding to comments, messages, and inquiries promptly and professionally, building relationships with followers, and creating a positive brand image.
keep up with the latest social media trends, tools, and best practices. adapting strategies to stay ahead of the competition and take advantage of new opportunities.
manage relationships with external vendors and freelancers for specialized content production needs, such as graphic design or videography.
flexible schedule that allows for the ebb and flow of the school year and willingness to extend hours as needed to achieve departmental goals
additional duties as assigned by supervisor
professional skills and personal attributes.
minimum of 2-3 years of experience in content strategy or a related field.
proven track record of creating successful social media content.
strong understanding of facebook, instagram, youtube, and other platforms and their audiences.
excellent creative writing skills and fluency; excellent fluency in english required; fluency in thai would be a valuable asset
highly creative with the ability to think in interesting ways.
highly organized with excellent interpersonal and communication skills
goal motivated, and ability to utilize data to measure impact and success
experience with social media content, marketing, and management
aligned and committed to the isb mission, vision, and values; willingness to represent the school at public events
team orientation with an experience working on a cross-functional team",https://th.jobsdb.com/th/job/78425045
Property Consultant,"Skyline Real (Thailand) Co., Ltd.",,https://th.jobsdb.com/th/job/78344052
Head of Procurement,"Reignwood Holding Co., Ltd.","key responsibilities:
1. develop and implement procurement strategies aligned with the organization's goals and objectives.
2. lead and mentor the purchasing team,and warehouse team providing guidance and support to ensure optimal performance and efficiency.
3. establish and maintain relationships with suppliers, negotiating contracts and terms to secure favorable pricing and conditions.
4. collaborate with internal stakeholders to understand purchasing needs and requirements, ensuring alignment with budgetary and operational constraints.
5. monitor market trends and industry developments to identify opportunities for cost savings, process improvements, and product innovation.
6. oversee the procurement process from requisition to delivery, ensuring compliance with regulatory and internal policies.
7. conduct regular supplier evaluations to assess performance, quality, and reliability, taking corrective actions as necessary.
8. manage the purchasing budget and expenditures, optimizing spending to achieve cost-efficiency and financial objectives.
9. stay abreast of best practices and emerging trends in procurement and supply chain management, driving continuous improvement initiatives within the organization.
10. develop and implement central warehouse management for reignwood park which will provide warehouse services across business units.",https://th.jobsdb.com/th/job/77818073
Customer Service Officer - เจ้าหน้าที่บริการลูกค้าออนไลน์,"FITWHEY CO., LTD.","หน้าที่ความรับผิดชอบ:
- ให้บริการลูกค้าในช่องทาง online/social media ของบริษัทฯ ให้เป็นไปตามมาตรฐานที่กำหนดไว้
- ให้คำแนะนำลูกค้าเกี่ยวกับผลิตภัณฑ์สินค้า และ ข้อมูลบน website fitwhey
- ดูแลลูกค้า คอยช่วยเหลือ/แก้ไขปัญหา
- คอยติดตาม/ตรวจสอบปัญหา สินค้าและขนส่ง
- คีย์ออเดอร์สินค้า / งานอื่นๆที่ได้รับมอบหมาย
- ประสานงานกับงานกับทีมที่เกี่ยวข้อง
- รายงานผลการดำเนินงานต่อผู้บังคับบัญชา
- ปฏิบัติงานอื่น ๆ ทีไ่ด้รับมอบหมาย",https://th.jobsdb.com/th/job/78314897
Event Marketing Specialist / เจ้าหน้าที่อีเว้นท์,"V&A Solution AEC Co., Ltd.","job description:
1. event planning and execution: organize and execute marketing events, design suitable promotiom in the event this involves coordinating all logistical aspects, from venue selection to vendor management.
2. audience engagement: develop strategies to engage and attract the target audience before, during, and after the event. this might include creating promotional materials, coordinating with marketing team to plan for event social media content.
3. collaboration with cross-functional teams: work closely with sales, marketing, and external teams to align event goals with overall business objectives.
4. vendor and partner coordination: liaise with external vendors, sponsors, and partners to ensure smooth event execution and collaboration.
6. event promotion and marketing: coordinate with the team to develop and implement marketing campaigns to promote events, including email marketing, social media, and paid advertising.
7. data collection and analysis: collect and analyze data from events to measure success, gather insights, and optimize future events. this includes tracking attendance, engagement, and post-event feedback.
8. on-site management: oversee on-site event management, ensuring everything runs smoothly and addressing any issues that arise during the event.",https://th.jobsdb.com/th/job/78438453
DESING ENGINEER (Body in White),"Mitsubishi Motors (Thailand) Co., Ltd.","job description
■ check into ecr & suppliers dwg.
■ take responsibility in cost reduction activity.
■ take responsibility in quality improvement activity.
■ investigate about engineering design information of vehicles investigation, service and quality control.
■ to be main staff who takes responsibility for 5s activity
■ cooperate and follow the procedure, written in iso9001 & iso14001.
■ take the jobs, as requirement of upper position.",https://th.jobsdb.com/th/job/78307059
HR Generalist,"Syaqua Siam Co., Ltd.","responsibilities:
talent acquisition
end to end process of recruitment and onboard new hire including preparation working tools, announcement, onboarding program preparation, induction program arrangement.
training
initiate and manage training program such as training needs, training records for department of skills development
employee relation
be the first point of contact for employees for all matters related to employee life experience i.e., resignation, grievance, support needed, etc.
support hr manager to drive engagement.
work with welfare committee to ensure proper agenda is discussed and follow up on action from the meeting.
deploy initiatives to enhance health and wellbeing of employees in the site.
reporting
prepare hr-related report including headcount, turnover, etc.
collect necessary employee data i.e., exit interview, pulse survey, etc. to make data-driven information.
analyze the data set and recommend action plan to solve hr-related issues.
hr & admin operations
support on employee communication and other operations activities.
leave management
support for visa and work permit, travel & hotel booking.
support the hr administration process when requested.
internship management
other administrative tasks",https://th.jobsdb.com/th/job/78410923
Automation Engineer/Project Engineer,Ansell (Thailand) Ltd.,,https://th.jobsdb.com/th/job/78281496
Business Controller,Rodenstock Asia Ltd.,"jobs responsibilities
manage all financial tasks, accounting, budgeting, rolling forecast and leading a team of finance professionals
deliver timely and accurate reporting of financial statements and reports in accordance with ifrs, thai gaap etc.
responsible for monthly, quarterly, and annual closing of financial- balance sheet, p&l, cash flow statements
develop and maintain internal controls and standard operating procedure; act as custodian of all the company assets including cash flow management.
ensuring the adherence with the tax framework in the country including tp monitoring.
drive system and process improvements including new implementations
develop and manage relationships with business partners and maintain various work to achieve business performance; provide financial insight to the management team
evaluates departmental performance and guide them when needed to ensure the department meets overall goals and objectives",https://th.jobsdb.com/th/job/78465886
Senior Digital Marketing Officer / Digital Marketing Officer,"IDP Education Services Co., Ltd.",,https://th.jobsdb.com/th/job/78314879
Marketing Communication Executive,AURORA DESIGN PUBLIC COMPANY LIMITED,"responsibilities:
develop marketing & communication strategy both online & offline including budgets and timeline management.
manage and execute marketing & communication activities; campaign & promotion, and ensure the consistent of show brand image.
be the main contact center with related partners regarding the implementation of joint marketing and communication activities.
implement marketing planning and procurement project, including corporate identity design & implementation, advertising, sales kits, promotion brochures, exhibitions & press events, vip speeches, media & public relations, publications, promotional articles, and internal communications.
develop current activities on all digital platform including website content management, email marketing, and social media campaign management.
maintain and develop the existing campaign crm database.
compile monthly digital marketing reports and make suggestions for campaign optimization.
be a center of relationships, build and maintain connections with all associations.",https://th.jobsdb.com/th/job/78281661
Case Manager,"APRIL Assistance (Thailand) Co., Ltd.","responsibilities:
develop innovative and effective action plans to improve patient journeys and enhance cost-effectiveness.
monitor cost savings and continuously propose new strategies based on the analysis.
anticipate future costs and take preventive actions to avoid recurrences or complications of chronic diseases.
apply strategic thinking to optimize treatment plans and patient outcomes.
focus on customer experience, engage with members, provide guidance, discuss alternative treatments, and facilitate second medical opinions when necessary.
coordinate with the various teams that need to be involved within the case management process (log team, medical team, sales...).
organize regular case study sessions to enhance teamwork and collaboration.
prepare well-structured case summaries as part of the escalation process.
work closely with the regional head of medical to apply the defined strategy and objectives, contributing to the overall success of the organization.",https://th.jobsdb.com/th/job/78410065
Assistant Manager,Sasin Graduate Institute of Business Administration of Chulalongkorn University,"key responsibilities:
assist the sasahouse manager in day-to-day operational activities, including front desk operations, housekeeping, maintenance, and food and beverage services.
supervise and train staff members to ensure high-quality service delivery and guest satisfaction.
handle guest inquiries, requests, and complaints in a professional and efficient manner.
assist in developing and implementing operational policies and procedures to improve efficiency and guest experience.
monitor and control operational cost and expenses to meet budgetary goals.
collaborate with other department heads to coordinate activities and resolve operational problems.
assist in managing inventory, ordering supplies, and maintaining equipment.
assist in marketing and promotional activities to drive revenue and increase occupancy rates.
perform administrative tasks such as preparing reports, managing schedules.",https://th.jobsdb.com/th/job/78297874
Human Resources Specialist,"Z COMMUNICATIONS CO., LTD.","job description
role description:
this is a full-time on-site role as a human resources specialist at group z international of 50 employees. the human resources specialist will be responsible for performing various hr tasks, including managing hr policies, employee benefits, personnel management, and hr management.",https://th.jobsdb.com/th/job/78413287
Test Engineer,TÜV Rheinland Thailand Ltd.,"job description :-
conduct electrical testing in laboratory
witness testing and run re-testing (if necessary)
provide support for technical information, test perspective, idea and answer questions in the meeting to internal colleagues and customer
solve problem on test project
provide test perspective, idea and technical support
located at global technology assessment center (gtac)
ladkrabang industrial estate, bkk",https://th.jobsdb.com/th/job/78327080
Bank Client Marketing Assistant Manager/ Manager,"Eastspring Asset Management (Thailand) Co., Ltd.",,https://th.jobsdb.com/th/job/78410988
"Conference Marketing Specialist - Science, Technology, Engineering & Mathematics","MDPI (Thailand) Co., Ltd.","responsibilities:
analyze marketing data and competitor information, develop marketing strategies that align with the target audience and company objectives, and adapt strategies to industry changes
create and implement social media campaigns
write, edit, and proofread marketing communication assets, including digital assets (website, edms, social content, etc.)
perform channel management of digital content, including email/newsletter distribution
generate reports, review the performance, and summarize experiences of past campaigns
support the organization team during on-ground activities, exhibitions, and events
prepare relevant data to create and implement campaigns and social media communications
embed tracking mechanisms in campaigns, track performances, and generate reports on campaign effectiveness",https://th.jobsdb.com/th/job/78335725
